"","mpg","cylinder","displacement","horsepower","weight","acceleration","modelYear","origin","carName","NA","NA","NA","NA","NA","NA"
"42",44,13,8,400,170,4746,12,71,1,"ford-country-squire (sw)","Hi","Hi","c8","cn6","Lo"
"43",45,13,8,400,175,5140,12,71,1,"pontiac-safari (sw)","Hi","Hi","c8","cn6","Lo"
"44",46,18,6,258,110,2962,13.5,71,1,"amc-hornet-sportabout (sw)","Hi","Hi","c6","c6","Lo"
"45",47,22,4,140,72,2408,19,71,1,"chevrolet-vega (sw)","Lo","Lo","c345","cn6","Hi"
"46",48,19,6,250,100,3282,15,71,1,"pontiac-firebird","Hi","Hi","c6","c6","Lo"
"47",49,18,6,250,88,3139,14.5,71,1,"ford-mustang","Lo","Hi","c6","c6","Lo"
"48",50,23,4,122,86,2220,14,71,1,"mercury-capri-2000","Lo","Lo","c345","cn6","Lo"
"49",51,28,4,116,90,2123,14,71,2,"opel-1900","Lo","Lo","c345","cn6","Lo"
"50",52,30,4,79,70,2074,19.5,71,2,"peugeot-304","Lo","Lo","c345","cn6","Hi"
"51",53,30,4,88,76,2065,14.5,71,2,"fiat-124b","Lo","Lo","c345","cn6","Lo"
"52",54,31,4,71,65,1773,19,71,3,"toyota-corolla-1200","Lo","Lo","c345","cn6","Hi"
"53",55,35,4,72,69,1613,18,71,3,"datsun-1200","Lo","Lo","c345","cn6","Hi"
"54",56,27,4,97,60,1834,19,71,2,"volkswagen-model-111","Lo","Lo","c345","cn6","Hi"
"55",57,26,4,91,70,1955,20.5,71,1,"plymouth-cricket","Lo","Lo","c345","cn6","Hi"
"56",58,24,4,113,95,2278,15.5,72,3,"toyota-corona-hardtop","Lo","Lo","c345","cn6","Lo"
"57",59,25,4,97.5,80,2126,17,72,1,"dodge-colt-hardtop","Lo","Lo","c345","cn6","Hi"
"58",60,23,4,97,54,2254,23.5,72,2,"volkswagen-type-3","Lo","Lo","c345","cn6","Hi"
"59",61,20,4,140,90,2408,19.5,72,1,"chevrolet-vega","Lo","Lo","c345","cn6","Hi"
"60",62,21,4,122,86,2226,16.5,72,1,"ford-pinto-runabout","Lo","Lo","c345","cn6","Hi"
"61",63,13,8,350,165,4274,12,72,1,"chevrolet-impala","Hi","Hi","c8","cn6","Lo"
"62",64,14,8,400,175,4385,12,72,1,"pontiac-catalina","Hi","Hi","c8","cn6","Lo"
"63",65,15,8,318,150,4135,13.5,72,1,"plymouth-fury-iii","Hi","Hi","c8","cn6","Lo"
"64",66,14,8,351,153,4129,13,72,1,"ford-galaxie-500","Hi","Hi","c8","cn6","Lo"
"65",67,17,8,304,150,3672,11.5,72,1,"amc-ambassador-sst","Hi","Hi","c8","cn6","Lo"
"66",68,11,8,429,208,4633,11,72,1,"mercury-marquis","Hi","Hi","c8","cn6","Lo"
"67",69,13,8,350,155,4502,13.5,72,1,"buick-lesabre-custom","Hi","Hi","c8","cn6","Lo"
"68",70,12,8,350,160,4456,13.5,72,1,"oldsmobile-delta-88 royale","Hi","Hi","c8","cn6","Lo"
"69",71,13,8,400,190,4422,12.5,72,1,"chrysler-newport-royal","Hi","Hi","c8","cn6","Lo"
"70",72,19,3,70,97,2330,13.5,72,3,"mazda-rx2 coupe","Lo","Lo","c345","cn6","Lo"
"71",73,15,8,304,150,3892,12.5,72,1,"amc-matador (sw)","Hi","Hi","c8","cn6","Lo"
"72",74,13,8,307,130,4098,14,72,1,"chevrolet-chevelle-concours (sw)","Hi","Hi","c8","cn6","Lo"
"73",75,13,8,302,140,4294,16,72,1,"ford-gran-torino (sw)","Hi","Hi","c8","cn6","Hi"
"74",76,14,8,318,150,4077,14,72,1,"plymouth-satellite-custom (sw)","Hi","Hi","c8","cn6","Lo"
"75",77,18,4,121,112,2933,14.5,72,2,"volvo-145e (sw)","Hi","Lo","c345","cn6","Lo"
"76",78,22,4,121,76,2511,18,72,2,"volkswagen-411 (sw)","Lo","Lo","c345","cn6","Hi"
"77",79,21,4,120,87,2979,19.5,72,2,"peugeot-504 (sw)","Lo","Lo","c345","cn6","Hi"
"78",80,26,4,96,69,2189,18,72,2,"renault-12 (sw)","Lo","Lo","c345","cn6","Hi"
"79",81,22,4,122,86,2395,16,72,1,"ford-pinto (sw)","Lo","Lo","c345","cn6","Hi"
"80",82,28,4,97,92,2288,17,72,3,"datsun-510 (sw)","Lo","Lo","c345","cn6","Hi"
"81",83,23,4,120,97,2506,14.5,72,3,"toyouta-corona-mark-ii (sw)","Lo","Lo","c345","cn6","Lo"
"82",84,28,4,98,80,2164,15,72,1,"dodge-colt (sw)","Lo","Lo","c345","cn6","Lo"
"83",85,27,4,97,88,2100,16.5,72,3,"toyota-corolla-1600 (sw)","Lo","Lo","c345","cn6","Hi"
"84",86,13,8,350,175,4100,13,73,1,"buick-century-350","Hi","Hi","c8","cn6","Lo"
"85",87,14,8,304,150,3672,11.5,73,1,"amc-matador","Hi","Hi","c8","cn6","Lo"
"86",88,13,8,350,145,3988,13,73,1,"chevrolet-malibu","Hi","Hi","c8","cn6","Lo"
"87",89,14,8,302,137,4042,14.5,73,1,"ford-gran-torino","Hi","Hi","c8","cn6","Lo"
"88",90,15,8,318,150,3777,12.5,73,1,"dodge-coronet-custom","Hi","Hi","c8","cn6","Lo"
"89",91,12,8,429,198,4952,11.5,73,1,"mercury-marquis-brougham","Hi","Hi","c8","cn6","Lo"
"90",92,13,8,400,150,4464,12,73,1,"chevrolet-caprice-classic","Hi","Hi","c8","cn6","Lo"
"91",93,13,8,351,158,4363,13,73,1,"ford-ltd","Hi","Hi","c8","cn6","Lo"
"92",94,14,8,318,150,4237,14.5,73,1,"plymouth-fury-gran-sedan","Hi","Hi","c8","cn6","Lo"
"93",95,13,8,440,215,4735,11,73,1,"chrysler-new-yorker-brougham","Hi","Hi","c8","cn6","Lo"
"94",96,12,8,455,225,4951,11,73,1,"buick-electra-225 custom","Hi","Hi","c8","cn6","Lo"
"95",97,13,8,360,175,3821,11,73,1,"amc-ambassador-brougham","Hi","Hi","c8","cn6","Lo"
"96",98,18,6,225,105,3121,16.5,73,1,"plymouth-valiant","Hi","Lo","c6","c6","Hi"
"97",99,16,6,250,100,3278,18,73,1,"chevrolet-nova-custom","Hi","Hi","c6","c6","Hi"
"98",100,18,6,232,100,2945,16,73,1,"amc-hornet","Hi","Lo","c6","c6","Hi"
"99",101,18,6,250,88,3021,16.5,73,1,"ford-maverick","Lo","Hi","c6","c6","Hi"
"100",102,23,6,198,95,2904,16,73,1,"plymouth-duster","Lo","Lo","c6","c6","Hi"
"101",103,26,4,97,46,1950,21,73,2,"volkswagen-super-beetle","Lo","Lo","c345","cn6","Hi"
"102",104,11,8,400,150,4997,14,73,1,"chevrolet-impala","Hi","Hi","c8","cn6","Lo"
"103",105,12,8,400,167,4906,12.5,73,1,"ford-country","Hi","Hi","c8","cn6","Lo"
"104",106,13,8,360,170,4654,13,73,1,"plymouth-custom-suburb","Hi","Hi","c8","cn6","Lo"
"105",107,12,8,350,180,4499,12.5,73,1,"oldsmobile-vista-cruiser","Hi","Hi","c8","cn6","Lo"
"106",108,18,6,232,100,2789,15,73,1,"amc-gremlin","Hi","Lo","c6","c6","Lo"
"107",109,20,4,97,88,2279,19,73,3,"toyota-carina","Lo","Lo","c345","cn6","Hi"
"108",110,21,4,140,72,2401,19.5,73,1,"chevrolet-vega","Lo","Lo","c345","cn6","Hi"
"109",111,22,4,108,94,2379,16.5,73,3,"datsun-610","Lo","Lo","c345","cn6","Hi"
"110",112,18,3,70,90,2124,13.5,73,3,"maxda-rx3","Lo","Lo","c345","cn6","Lo"
"111",113,19,4,122,85,2310,18.5,73,1,"ford-pinto","Lo","Lo","c345","cn6","Hi"
"112",114,21,6,155,107,2472,14,73,1,"mercury-capri-v6","Hi","Lo","c6","c6","Lo"
"113",115,26,4,98,90,2265,15.5,73,2,"fiat-124 sport-coupe","Lo","Lo","c345","cn6","Lo"
"114",116,15,8,350,145,4082,13,73,1,"chevrolet-monte-carlo-s","Hi","Hi","c8","cn6","Lo"
"115",117,16,8,400,230,4278,9.5,73,1,"pontiac-grand-prix","Hi","Hi","c8","cn6","Lo"
"116",118,29,4,68,49,1867,19.5,73,2,"fiat-128","Lo","Lo","c345","cn6","Hi"
"117",119,24,4,116,75,2158,15.5,73,2,"opel-manta","Lo","Lo","c345","cn6","Lo"
"118",120,20,4,114,91,2582,14,73,2,"audi-100ls","Lo","Lo","c345","cn6","Lo"
"119",121,19,4,121,112,2868,15.5,73,2,"volvo-144ea","Hi","Lo","c345","cn6","Lo"
"120",122,15,8,318,150,3399,11,73,1,"dodge-dart-custom","Hi","Hi","c8","cn6","Lo"
"121",123,24,4,121,110,2660,14,73,2,"saab-99le","Hi","Lo","c345","cn6","Lo"
"122",124,20,6,156,122,2807,13.5,73,3,"toyota-mark-ii","Hi","Lo","c6","c6","Lo"
"123",125,11,8,350,180,3664,11,73,1,"oldsmobile-omega","Hi","Hi","c8","cn6","Lo"
"124",126,20,6,198,95,3102,16.5,74,1,"plymouth-duster","Lo","Lo","c6","c6","Hi"
"125",129,19,6,232,100,2901,16,74,1,"amc-hornet","Hi","Lo","c6","c6","Hi"
"126",130,15,6,250,100,3336,17,74,1,"chevrolet-nova","Hi","Hi","c6","c6","Hi"
"127",131,31,4,79,67,1950,19,74,3,"datsun-b210","Lo","Lo","c345","cn6","Hi"
"128",132,26,4,122,80,2451,16.5,74,1,"ford-pinto","Lo","Lo","c345","cn6","Hi"
"129",133,32,4,71,65,1836,21,74,3,"toyota-corolla-1200","Lo","Lo","c345","cn6","Hi"
"130",134,25,4,140,75,2542,17,74,1,"chevrolet-vega","Lo","Lo","c345","cn6","Hi"
"131",135,16,6,250,100,3781,17,74,1,"chevrolet-chevelle-malibu-classic","Hi","Hi","c6","c6","Hi"
"132",136,16,6,258,110,3632,18,74,1,"amc-matador","Hi","Hi","c6","c6","Hi"
"133",137,18,6,225,105,3613,16.5,74,1,"plymouth-satellite-sebring","Hi","Lo","c6","c6","Hi"
"134",138,16,8,302,140,4141,14,74,1,"ford-gran-torino","Hi","Hi","c8","cn6","Lo"
"135",139,13,8,350,150,4699,14.5,74,1,"buick-century-luxus (sw)","Hi","Hi","c8","cn6","Lo"
"136",140,14,8,318,150,4457,13.5,74,1,"dodge-coronet-custom (sw)","Hi","Hi","c8","cn6","Lo"
"137",141,14,8,302,140,4638,16,74,1,"ford-gran-torino (sw)","Hi","Hi","c8","cn6","Hi"
"138",142,14,8,304,150,4257,15.5,74,1,"amc-matador (sw)","Hi","Hi","c8","cn6","Lo"
"139",143,29,4,98,83,2219,16.5,74,2,"audi-fox","Lo","Lo","c345","cn6","Hi"
"140",144,26,4,79,67,1963,15.5,74,2,"volkswagen-dasher","Lo","Lo","c345","cn6","Lo"
"141",145,26,4,97,78,2300,14.5,74,2,"opel-manta","Lo","Lo","c345","cn6","Lo"
"142",146,31,4,76,52,1649,16.5,74,3,"toyota-corona","Lo","Lo","c345","cn6","Hi"
"143",147,32,4,83,61,2003,19,74,3,"datsun-710","Lo","Lo","c345","cn6","Hi"
"144",148,28,4,90,75,2125,14.5,74,1,"dodge-colt","Lo","Lo","c345","cn6","Lo"
"145",149,24,4,90,75,2108,15.5,74,2,"fiat-128","Lo","Lo","c345","cn6","Lo"
"146",150,26,4,116,75,2246,14,74,2,"fiat-124 tc","Lo","Lo","c345","cn6","Lo"
"147",151,24,4,120,97,2489,15,74,3,"honda-civic","Lo","Lo","c345","cn6","Lo"
"148",152,26,4,108,93,2391,15.5,74,3,"subaru","Lo","Lo","c345","cn6","Lo"
"149",153,31,4,79,67,2000,16,74,2,"fiat-x1.9","Lo","Lo","c345","cn6","Hi"
"150",154,19,6,225,95,3264,16,75,1,"plymouth-valiant-custom","Lo","Lo","c6","c6","Hi"
"151",155,18,6,250,105,3459,16,75,1,"chevrolet-nova","Hi","Hi","c6","c6","Hi"
"152",156,15,6,250,72,3432,21,75,1,"mercury-monarch","Lo","Hi","c6","c6","Hi"
"153",157,15,6,250,72,3158,19.5,75,1,"ford-maverick","Lo","Hi","c6","c6","Hi"
"154",158,16,8,400,170,4668,11.5,75,1,"pontiac-catalina","Hi","Hi","c8","cn6","Lo"
"155",159,15,8,350,145,4440,14,75,1,"chevrolet-bel-air","Hi","Hi","c8","cn6","Lo"
"156",160,16,8,318,150,4498,14.5,75,1,"plymouth-grand-fury","Hi","Hi","c8","cn6","Lo"
"157",161,14,8,351,148,4657,13.5,75,1,"ford-ltd","Hi","Hi","c8","cn6","Lo"
"158",162,17,6,231,110,3907,21,75,1,"buick-century","Hi","Lo","c6","c6","Hi"
"159",163,16,6,250,105,3897,18.5,75,1,"chevroelt-chevelle-malibu","Hi","Hi","c6","c6","Hi"
"160",164,15,6,258,110,3730,19,75,1,"amc-matador","Hi","Hi","c6","c6","Hi"
"161",165,18,6,225,95,3785,19,75,1,"plymouth-fury","Lo","Lo","c6","c6","Hi"
"162",166,21,6,231,110,3039,15,75,1,"buick-skyhawk","Hi","Lo","c6","c6","Lo"
"163",167,20,8,262,110,3221,13.5,75,1,"chevrolet-monza-2+2","Hi","Hi","c8","cn6","Lo"
"164",168,13,8,302,129,3169,12,75,1,"ford-mustang-ii","Hi","Hi","c8","cn6","Lo"
"165",169,29,4,97,75,2171,16,75,3,"toyota-corolla","Lo","Lo","c345","cn6","Hi"
"166",170,23,4,140,83,2639,17,75,1,"ford-pinto","Lo","Lo","c345","cn6","Hi"
"167",171,20,6,232,100,2914,16,75,1,"amc-gremlin","Hi","Lo","c6","c6","Hi"
"168",172,23,4,140,78,2592,18.5,75,1,"pontiac-astro","Lo","Lo","c345","cn6","Hi"
"169",173,24,4,134,96,2702,13.5,75,3,"toyota-corona","Lo","Lo","c345","cn6","Lo"
"170",174,25,4,90,71,2223,16.5,75,2,"volkswagen-dasher","Lo","Lo","c345","cn6","Hi"
"171",175,24,4,119,97,2545,17,75,3,"datsun-710","Lo","Lo","c345","cn6","Hi"
"172",176,18,6,171,97,2984,14.5,75,1,"ford-pinto","Lo","Lo","c6","c6","Lo"
"173",177,29,4,90,70,1937,14,75,2,"volkswagen-rabbit","Lo","Lo","c345","cn6","Lo"
"174",178,19,6,232,90,3211,17,75,1,"amc-pacer","Lo","Lo","c6","c6","Hi"
"175",179,23,4,115,95,2694,15,75,2,"audi-100ls","Lo","Lo","c345","cn6","Lo"
"176",180,23,4,120,88,2957,17,75,2,"peugeot-504","Lo","Lo","c345","cn6","Hi"
"177",181,22,4,121,98,2945,14.5,75,2,"volvo-244dl","Lo","Lo","c345","cn6","Lo"
"178",182,25,4,121,115,2671,13.5,75,2,"saab-99le","Hi","Lo","c345","cn6","Lo"
"179",183,33,4,91,53,1795,17.5,75,3,"honda-civic-cvcc","Lo","Lo","c345","cn6","Hi"
"180",184,28,4,107,86,2464,15.5,76,2,"fiat-131","Lo","Lo","c345","cn6","Lo"
"181",185,25,4,116,81,2220,16.9,76,2,"opel-1900","Lo","Lo","c345","cn6","Hi"
"182",186,25,4,140,92,2572,14.9,76,1,"capri-ii","Lo","Lo","c345","cn6","Lo"
"183",187,26,4,98,79,2255,17.7,76,1,"dodge-colt","Lo","Lo","c345","cn6","Hi"
"184",188,27,4,101,83,2202,15.3,76,2,"renault-12tl","Lo","Lo","c345","cn6","Lo"
"185",189,17.5,8,305,140,4215,13,76,1,"chevrolet-chevelle-malibu-classic","Hi","Hi","c8","cn6","Lo"
"186",190,16,8,318,150,4190,13,76,1,"dodge-coronet-brougham","Hi","Hi","c8","cn6","Lo"
"187",191,15.5,8,304,120,3962,13.9,76,1,"amc-matador","Hi","Hi","c8","cn6","Lo"
"188",192,14.5,8,351,152,4215,12.8,76,1,"ford-gran-torino","Hi","Hi","c8","cn6","Lo"
"189",193,22,6,225,100,3233,15.4,76,1,"plymouth-valiant","Hi","Lo","c6","c6","Lo"
"190",194,22,6,250,105,3353,14.5,76,1,"chevrolet-nova","Hi","Hi","c6","c6","Lo"
"191",195,24,6,200,81,3012,17.6,76,1,"ford-maverick","Lo","Lo","c6","c6","Hi"
"192",196,22.5,6,232,90,3085,17.6,76,1,"amc-hornet","Lo","Lo","c6","c6","Hi"
"193",197,29,4,85,52,2035,22.2,76,1,"chevrolet-chevette","Lo","Lo","c345","cn6","Hi"
"194",198,24.5,4,98,60,2164,22.1,76,1,"chevrolet-woody","Lo","Lo","c345","cn6","Hi"
"195",199,29,4,90,70,1937,14.2,76,2,"vw-rabbit","Lo","Lo","c345","cn6","Lo"
"196",200,33,4,91,53,1795,17.4,76,3,"honda-civic","Lo","Lo","c345","cn6","Hi"
"197",201,20,6,225,100,3651,17.7,76,1,"dodge-aspen-se","Hi","Lo","c6","c6","Hi"
"198",202,18,6,250,78,3574,21,76,1,"ford-granada-ghia","Lo","Hi","c6","c6","Hi"
"199",203,18.5,6,250,110,3645,16.2,76,1,"pontiac-ventura-sj","Hi","Hi","c6","c6","Hi"
"200",204,17.5,6,258,95,3193,17.8,76,1,"amc-pacer-d/l","Lo","Hi","c6","c6","Hi"
"201",205,29.5,4,97,71,1825,12.2,76,2,"volkswagen-rabbit","Lo","Lo","c345","cn6","Lo"
"202",206,32,4,85,70,1990,17,76,3,"datsun-b-210","Lo","Lo","c345","cn6","Hi"
"203",207,28,4,97,75,2155,16.4,76,3,"toyota-corolla","Lo","Lo","c345","cn6","Hi"
"204",208,26.5,4,140,72,2565,13.6,76,1,"ford-pinto","Lo","Lo","c345","cn6","Lo"
"205",209,20,4,130,102,3150,15.7,76,2,"volvo-245","Hi","Lo","c345","cn6","Lo"
"206",210,13,8,318,150,3940,13.2,76,1,"plymouth-volare-premier-v8","Hi","Hi","c8","cn6","Lo"
"207",211,19,4,120,88,3270,21.9,76,2,"peugeot-504","Lo","Lo","c345","cn6","Hi"
"208",212,19,6,156,108,2930,15.5,76,3,"toyota-mark-ii","Hi","Lo","c6","c6","Lo"
"209",213,16.5,6,168,120,3820,16.7,76,2,"mercedes-benz-280s","Hi","Lo","c6","c6","Hi"
"210",214,16.5,8,350,180,4380,12.1,76,1,"cadillac-seville","Hi","Hi","c8","cn6","Lo"
"211",215,13,8,350,145,4055,12,76,1,"chevy-c10","Hi","Hi","c8","cn6","Lo"
"212",216,13,8,302,130,3870,15,76,1,"ford-f108","Hi","Hi","c8","cn6","Lo"
"213",217,13,8,318,150,3755,14,76,1,"dodge-d100","Hi","Hi","c8","cn6","Lo"
"214",218,31.5,4,98,68,2045,18.5,77,3,"honda-accord-cvcc","Lo","Lo","c345","cn6","Hi"
"215",219,30,4,111,80,2155,14.8,77,1,"buick-opel-isuzu-deluxe","Lo","Lo","c345","cn6","Lo"
"216",220,36,4,79,58,1825,18.6,77,2,"renault-5 gtl","Lo","Lo","c345","cn6","Hi"
"217",221,25.5,4,122,96,2300,15.5,77,1,"plymouth-arrow-gs","Lo","Lo","c345","cn6","Lo"
"218",222,33.5,4,85,70,1945,16.8,77,3,"datsun-f-10 hatchback","Lo","Lo","c345","cn6","Hi"
"219",223,17.5,8,305,145,3880,12.5,77,1,"chevrolet-caprice-classic","Hi","Hi","c8","cn6","Lo"
"220",224,17,8,260,110,4060,19,77,1,"oldsmobile-cutlass-supreme","Hi","Hi","c8","cn6","Hi"
"221",225,15.5,8,318,145,4140,13.7,77,1,"dodge-monaco-brougham","Hi","Hi","c8","cn6","Lo"
"222",226,15,8,302,130,4295,14.9,77,1,"mercury-cougar-brougham","Hi","Hi","c8","cn6","Lo"
"223",227,17.5,6,250,110,3520,16.4,77,1,"chevrolet-concours","Hi","Hi","c6","c6","Hi"
"224",228,20.5,6,231,105,3425,16.9,77,1,"buick-skylark","Hi","Lo","c6","c6","Hi"
"225",229,19,6,225,100,3630,17.7,77,1,"plymouth-volare-custom","Hi","Lo","c6","c6","Hi"
"226",230,18.5,6,250,98,3525,19,77,1,"ford-granada","Lo","Hi","c6","c6","Hi"
"227",231,16,8,400,180,4220,11.1,77,1,"pontiac-grand-prix-lj","Hi","Hi","c8","cn6","Lo"
"228",232,15.5,8,350,170,4165,11.4,77,1,"chevrolet-monte-carlo-landau","Hi","Hi","c8","cn6","Lo"
"229",233,15.5,8,400,190,4325,12.2,77,1,"chrysler-cordoba","Hi","Hi","c8","cn6","Lo"
"230",234,16,8,351,149,4335,14.5,77,1,"ford-thunderbird","Hi","Hi","c8","cn6","Lo"
"231",235,29,4,97,78,1940,14.5,77,2,"volkswagen-rabbit-custom","Lo","Lo","c345","cn6","Lo"
"232",236,24.5,4,151,88,2740,16,77,1,"pontiac-sunbird-coupe","Lo","Lo","c345","cn6","Hi"
"233",237,26,4,97,75,2265,18.2,77,3,"toyota-corolla-liftback","Lo","Lo","c345","cn6","Hi"
"234",238,25.5,4,140,89,2755,15.8,77,1,"ford-mustang-ii-2+2","Lo","Lo","c345","cn6","Lo"
"235",239,30.5,4,98,63,2051,17,77,1,"chevrolet-chevette","Lo","Lo","c345","cn6","Hi"
"236",240,33.5,4,98,83,2075,15.9,77,1,"dodge-colt-m/m","Lo","Lo","c345","cn6","Lo"
"237",241,30,4,97,67,1985,16.4,77,3,"subaru-dl","Lo","Lo","c345","cn6","Hi"
"238",242,30.5,4,97,78,2190,14.1,77,2,"volkswagen-dasher","Lo","Lo","c345","cn6","Lo"
"239",243,22,6,146,97,2815,14.5,77,3,"datsun-810","Lo","Lo","c6","c6","Lo"
"240",244,21.5,4,121,110,2600,12.8,77,2,"bmw-320i","Hi","Lo","c345","cn6","Lo"
"241",245,21.5,3,80,110,2720,13.5,77,3,"mazda-rx-4","Hi","Lo","c345","cn6","Lo"
"242",246,43.1,4,90,48,1985,21.5,78,2,"volkswagen-rabbit-custom-diesel","Lo","Lo","c345","cn6","Hi"
"243",247,36.1,4,98,66,1800,14.4,78,1,"ford-fiesta","Lo","Lo","c345","cn6","Lo"
"244",248,32.8,4,78,52,1985,19.4,78,3,"mazda-glc-deluxe","Lo","Lo","c345","cn6","Hi"
"245",249,39.4,4,85,70,2070,18.6,78,3,"datsun-b210 gx","Lo","Lo","c345","cn6","Hi"
"246",250,36.1,4,91,60,1800,16.4,78,3,"honda-civic-cvcc","Lo","Lo","c345","cn6","Hi"
"247",251,19.9,8,260,110,3365,15.5,78,1,"oldsmobile-cutlass-salon-brougham","Hi","Hi","c8","cn6","Lo"
"248",252,19.4,8,318,140,3735,13.2,78,1,"dodge-diplomat","Hi","Hi","c8","cn6","Lo"
"249",253,20.2,8,302,139,3570,12.8,78,1,"mercury-monarch-ghia","Hi","Hi","c8","cn6","Lo"
"250",254,19.2,6,231,105,3535,19.2,78,1,"pontiac-phoenix-lj","Hi","Lo","c6","c6","Hi"
"251",255,20.5,6,200,95,3155,18.2,78,1,"chevrolet-malibu","Lo","Lo","c6","c6","Hi"
"252",256,20.2,6,200,85,2965,15.8,78,1,"ford-fairmont (auto)","Lo","Lo","c6","c6","Lo"
"253",257,25.1,4,140,88,2720,15.4,78,1,"ford-fairmont (man)","Lo","Lo","c345","cn6","Lo"
"254",258,20.5,6,225,100,3430,17.2,78,1,"plymouth-volare","Hi","Lo","c6","c6","Hi"
"255",259,19.4,6,232,90,3210,17.2,78,1,"amc-concord","Lo","Lo","c6","c6","Hi"
"256",260,20.6,6,231,105,3380,15.8,78,1,"buick-century-special","Hi","Lo","c6","c6","Lo"
